,Unnamed: 0,unnamed_0,how_many_employees_does_your_company_or_organization_have,is_your_employer_primarily_a_tech_company_organization,is_your_primary_role_within_your_company_related_to_tech_it,does_your_employer_provide_mental_health_benefits_as_part_of_healthcare_coverage,do_you_know_the_options_for_mental_health_care_available_under_your_employer_provided_health_coverage,has_your_employer_ever_formally_discussed_mental_health_for_example_as_part_of_a_wellness_campaign_or_other_official_communication,does_your_employer_offer_resources_to_learn_more_about_mental_health_disorders_and_options_for_seeking_help,is_your_anonymity_protected_if_you_choose_to_take_advantage_of_mental_health_or_substance_abuse_treatment_resources_provided_by_your_employer,you_feel_more_comfortable_talking_to_your_coworkers_about_your_physical_health_or_your_mental_health,would_you_feel_comfortable_discussing_a_mental_health_issue_with_your_direct_supervisor_s,have_you_ever_discussed_your_mental_health_with_your_employer,would_you_feel_comfortable_discussing_a_mental_health_issue_with_your_coworkers,have_you_ever_discussed_your_mental_health_with_coworkers,overall_how_much_importance_does_your_employer_place_on_physical_health,overall_how_much_importance_does_your_employer_place_on_mental_health,do_you_have_medical_coverage_private_insurance_or_state_provided_that_includes_treatment_of_mental_health_disorders,do_you_know_local_or_online_resources_to_seek_help_for_a_mental_health_issue,do_you_believe_your_productivity_is_ever_affected_by_a_mental_health_issue,if_yes_what_percentage_of_your_work_time_time_performing_primary_or_secondary_job_functions_is_affected_by_a_mental_health_issue,have_you_had_a_mental_health_disorder_in_the_past,have_you_ever_sought_treatment_for_a_mental_health_disorder_from_a_mental_health_professional,do_you_have_a_family_history_of_mental_illness,have_your_observations_of_how_another_individual_who_discussed_a_mental_health_issue_made_you_less_likely_to_reveal_a_mental_health_issue_yourself_in_your_current_workplace,what_is_your_age,what_is_your_gender,what_is_your_race,survey_year
0,0,0,100-500,1,1,0,1,0,2,2,0,1,0,1,1,6.0,0.0,-1,-1,-1,,1,1,0,0,27.0,1,,2017
1,1,1,100-500,1,1,1,1,0,0,2,0,2,0,1,1,7.0,2.0,-1,-1,-1,,1,0,0,0,31.0,0,,2017
2,2,2,6-25,1,1,2,0,2,0,1,0,1,1,2,1,0.0,1.0,-1,-1,-1,,1,1,1,1,36.0,0,White,2017
3,3,3,More than 1000,1,1,1,1,2,2,1,0,1,1,1,1,7.0,5.0,-1,-1,-1,,0,1,2,0,22.0,0,White,2017
4,4,4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,1,1-25%,1,1,1,0,52.0,1,More than one of the above,2017
5,5,5,100-500,1,0,1,0,0,2,1,1,2,0,2,0,9.0,5.0,-1,-1,-1,,0,0,1,2,30.0,0,White,2017
6,6,6,6-25,1,1,1,1,0,0,1,0,1,0,0,1,10.0,10.0,-1,-1,-1,,0,1,1,0,36.0,1,Asian,2017
7,7,7,26-100,1,1,1,0,0,0,2,1,1,0,2,0,10.0,8.0,-1,-1,-1,,0,1,1,0,38.0,1,White,2017
8,8,8,100-500,0,1,2,0,0,0,1,0,2,0,2,0,9.0,7.0,-1,-1,-1,,0,0,2,2,35.0,0,,2017
9,9,9,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,0,2,,0,1,0,0,36.0,0,,2017
10,10,10,100-500,0,1,1,1,0,0,2,1,0,1,0,1,1.0,0.0,-1,-1,-1,,1,1,1,0,40.0,0,White,2017
11,11,11,100-500,1,1,2,0,0,2,2,1,2,0,0,0,5.0,3.0,-1,-1,-1,,1,0,1,1,35.0,0,White,2017
